Price,Close,High,Low,Open,Volume
Ticker,GOLD,GOLD,GOLD,GOLD,GOLD
Date,,,,,
2023-06-28,32.4199333190918,32.700822759947144,32.2115328138621,32.501481643439305,99800
2023-06-29,33.19917297363281,33.298843534525304,32.45617864611417,32.45617864611417,119100
2023-06-30,33.91951370239258,34.04183445166635,33.09949909676772,33.28071796601168,288200
2023-07-03,34.123382568359375,34.304601436532465,33.819842951635344,33.92404146772274,53200
2023-07-05,33.14480972290039,34.03277846893739,32.999831847828766,34.03277846893739,111900
2023-07-06,32.7370719909668,32.99077638964488,32.39275640957283,32.918290899935364,86600
2023-07-07,33.19917297363281,33.50724404527197,32.809553575487335,32.809553575487335,154000
2023-07-10,33.733768463134766,33.733768463134766,32.97265186348907,33.135748524589076,93800
2023-07-11,34.67610168457031,34.694223918666346,33.643158536335314,33.751888484448806,98100
2023-07-12,35.47346878051758,35.66374708643422,34.91168979667324,35.01136037304766,167800
2023-07-13,36.089599609375,36.107718384384334,35.2922387069374,35.564065266086374,180400
2023-07-14,36.0759391784668,36.19432294241912,35.38838720424064,36.025852403753944,128700
2023-07-17,36.79081726074219,36.881882247098325,35.77087134923934,35.93479110380564,111500
2023-07-18,37.045799255371094,37.16145254372918,36.3081604145057,36.82723844084962,140500
2023-07-19,37.21882629394531,37.400959737768154,36.53582848503953,36.91830906445815,131500
2023-07-20,36.982051849365234,37.227931454839144,36.499401220419884,37.20971776474039,168600
2023-07-21,36.95473861694336,37.155082290391164,36.35369717487984,37.155082290391164,211300
2023-07-24,37.46470260620117,38.02020799743783,36.881878416676216,36.91830579699807,142400
2023-07-25,37.628623962402344,38.07485070577482,37.41917172740101,37.464704217808894,104500
2023-07-26,38.13859558105469,38.24787424907258,37.62862267379415,37.62862267379415,169000
2023-07-27,36.23530960083008,38.34804911531905,36.15334972854791,38.1385968803549,197700
2023-07-28,36.92741012573242,37.1004384416562,36.50395139167041,36.53582448030277,126800
2023-07-31,37.14596939086914,37.337207914743814,36.6542102089863,36.6542102089863,96200
2023-08-01,36.99114990234375,37.35086239689926,36.59956432467094,36.909190049484195,101100
2023-08-02,35.88925552368164,36.863665384287856,35.71623067492476,36.863665384287856,133100
2023-08-03,35.388389587402344,35.7981889199656,35.12703026230256,35.57052301008669,100800
2023-08-04,35.30643081665039,36.29905435348546,35.23357605575311,35.64337540103479,179900
2023-08-07,35.09697723388672,35.579627847511276,34.59611293074157,35.30642945251447,148500
2023-08-08,34.3502311706543,34.969482679747124,34.29559010553228,34.969482679747124,145000
2023-08-09,34.022396087646484,34.30469960885568,33.721875401822935,34.25916711903868,131500
2023-08-10,33.26654052734375,34.23639949429341,33.10262079980031,34.02239299033914,193900
2023-08-11,33.24832534790039,34.15443809951074,32.984235553279404,33.257433928970045,159800
2023-08-14,32.78388977050781,33.16636681702221,32.56532897685247,33.16636681702221,130200
2023-08-15,31.782161712646484,32.760212161185116,31.736625752543038,32.62907915676149,163600
2023-08-16,31.79127311706543,32.06447156226709,31.65012133972436,31.864127888536114,171200
2023-08-17,31.864120483398438,31.9688448506665,31.600027209051845,31.773052040224147,84100
2023-08-18,31.763948440551758,31.964292077232813,31.335935422081484,31.672879993054856,223800
2023-08-21,31.618242263793945,31.89144065730891,31.326830180857176,31.72752092641872,105200
2023-08-22,31.518070220947266,31.900547295435626,31.31772310160219,31.882333605140055,119100
2023-08-23,31.586368560791016,31.95518621115998,31.20844232893547,31.518068095265583,305600
2023-08-24,30.61650848388672,31.69109178258339,30.58918968822852,31.42699851153461,285000
2023-08-25,30.680259704589844,30.862393144726997,30.24314153260453,30.698473395994203,206800
2023-08-28,31.108274459838867,31.15380695387311,30.748561851327096,30.771329835297525,170900
2023-08-29,31.809480667114258,31.88233195060972,31.10826925970201,31.10826925970201,227400
2023-08-30,31.618242263793945,31.98250563051188,31.15835615913502,31.72752092641872,183600
2023-08-31,31.07184600830078,31.795825492044315,30.89882114734824,31.51807277189254,327600
2023-09-01,34.4686164855957,35.60694600591136,32.00982750083869,32.78389018509093,664000
2023-09-05,33.37582778930664,34.58700876900512,32.78389496291365,34.39577021545902,335900
2023-09-06,32.60176086425781,33.6945580358784,32.55622837250413,33.6945580358784,309100
2023-09-07,32.292137145996094,32.79300153550279,31.900551438549282,32.60176297342132,228500
2023-09-08,33.0297737121582,33.44867819178799,32.14642878753791,32.783894089617306,220100
2023-09-11,33.15151596069336,33.84451172154666,32.6551772969461,33.36690672811538,189600
2023-09-12,32.35550308227539,33.10468914167088,32.2805862625363,32.96421876500975,168700
2023-09-13,32.20566177368164,32.73945699637467,31.550122715447955,32.280582156291416,366000
2023-09-14,31.671875,32.83311623342913,31.297280131822493,32.62708869869136,255700
2023-09-15,29.667797088623047,31.625047715039184,29.569466751392692,31.625047715039184,569000
2023-09-18,30.44976043701172,30.6042810719189,29.37748818680945,29.78017459148163,305500
2023-09-19,29.84572982788086,30.7447549136011,29.658432414047326,30.38889018455749,215100
2023-09-20,29.23701286315918,30.379522036832768,28.890514984594436,30.089214451711314,466200
2023-09-21,29.096540451049805,29.85509154398874,28.487826566933364,28.871784637816063,350800
2023-09-22,28.6938533782959,29.542307543409883,28.487827654847212,29.255743825938346,322200
2023-09-25,28.291168212890625,28.3567235641737,26.118526583984973,27.626265725682725,701300
2023-09-26,27.45769691467285,28.450368959983237,27.129927320728683,28.234978175980146,489100
2023-09-27,27.158021926879883,27.916573073666925,26.914535998708615,27.523249926036502,427100
2023-09-28,27.85101890563965,27.85101890563965,27.08310272611947,27.101832824693258,260000
2023-09-29,27.46706199645996,28.253708308365304,27.392143385145193,28.019587424731586,205300
2023-10-02,26.6148624420166,27.467062325764374,26.347964774370354,27.467062325764374,326900
2023-10-03,26.259002685546875,26.86771670734775,26.216860849396,26.530582018140755,371600
2023-10-04,26.43692970275879,26.686970991786005,26.081066746216276,26.258999117587823,382200
2023-10-05,26.755332946777344,26.80215819286336,26.14661903726315,26.446293467411646,349700
2023-10-06,27.292892456054688,27.36833921741989,26.029157854093004,27.000534681820923,234300
2023-10-09,27.085411071777344,27.5758158939492,26.93451755707717,27.330613482863274,277900
2023-10-10,27.802156448364258,27.83044965720511,27.094842416476336,27.151428834158043,243300
2023-10-11,28.1228084564209,28.26427091730735,27.707850345533558,27.79272818182399,192500
2023-10-12,28.1228084564209,28.24541057497053,27.764436768922366,28.1228084564209,179300
2023-10-13,28.830121994018555,29.556298224126117,28.311425714680436,28.311425714680436,367500
2023-10-16,28.22654914855957,29.169634643405967,28.113378097709155,28.999878966526765,218900
2023-10-17,28.37744140625,28.575488487830903,28.080368985085897,28.085085419671774,180800
2023-10-18,28.047359466552734,28.698088893579214,27.915328086701113,28.21711512567205,202900
2023-10-19,27.604110717773438,28.094515568641622,27.443786124173943,27.868173484554237,181000
2023-10-20,27.311750411987305,27.971910865371214,27.226874386807825,27.67955491546349,219400
2023-10-23,27.226877212524414,27.500371052424327,26.71100864659546,27.094844028869176,176400
2023-10-24,26.642162322998047,27.471134109118392,26.571430199083654,27.26459853779123,134300
2023-10-25,26.481840133666992,26.92508966048338,26.31208445992669,26.51013334555464,323900
2023-10-26,26.528993606567383,26.708180350386737,26.09517515171218,26.481840052358873,274400
2023-10-27,26.16118812561035,26.783624330134025,25.97257212960498,26.783624330134025,160800
2023-10-30,25.708505630493164,26.444112815968126,25.463303235334845,26.21777075982778,220200
2023-10-31,25.538753509521484,25.972573745022117,25.425582465845274,25.765093798081185,236600
2023-11-01,24.54851722717285,25.600057387278603,24.0628269514198,25.53875632358299,434100
2023-11-02,25.302978515625,25.397287405340915,24.88802048015045,24.925744755553797,394500
2023-11-03,25.727371215820312,26.019727195888525,25.472737717635397,25.783955838041614,196600
2023-11-06,25.6330623626709,26.359238577958976,25.6330623626709,25.67078484462741,635800
2023-11-07,24.850297927856445,25.727367541596106,24.15807222641136,25.689643266307648,457300
2023-11-08,23.16217613220215,24.71826662949476,21.822994837818563,22.42657069645978,1023400
2023-11-09,22.935834884643555,23.977943740168453,22.879250268636582,23.341361863410622,367500
2023-11-10,23.16217613220215,23.397947474179592,22.916973720690496,22.964129068361537,399300
2023-11-13,23.31307029724121,23.360225646227164,22.869820809529088,23.105592158080935,382300
2023-11-14,24.803144454956055,24.897453351499642,23.445102820381727,23.445102820381727,614000
2023-11-15,24.397619247436523,25.142655752350986,24.152416836044047,24.812575513984477,368100
2023-11-16,24.605100631713867,24.83144093395281,24.020386835168654,24.237297865424694,306500
2023-11-17,25.020055770874023,25.067209320341732,24.548513081026517,24.935177942798063,306800
2023-11-20,25.416152954101562,25.614200030171336,24.87859275021354,24.906885960563233,177600
2023-11-21,26.44883155822754,27.01939782465231,25.774525316528177,26.283792323738638,388500
2023-11-22,26.246068954467773,26.51013353762059,26.010297583407592,26.481840325527955,256000
2023-11-24,26.236635208129883,26.69874683242606,26.180050588507985,26.425253005259705,75200
2023-11-27,26.50069808959961,26.632729459970978,26.123464317972473,26.236633550064358,184900
2023-11-28,26.991106033325195,27.4720780238798,26.161189840367673,26.510132243977868,292000
2023-11-29,26.953380584716797,27.406061143741372,26.78362492538442,27.085411964734135,274100
2023-11-30,27.02882957458496,27.406063404896024,26.802489276398322,27.075983128826547,249700
2023-12-01,28.113372802734375,28.19825062518778,26.8873626098624,27.066549323796533,402000
2023-12-04,28.81125831604004,28.815974750374654,27.788011518132215,27.934190403030183,298600
2023-12-05,27.85874366760254,28.839551551334942,27.74557262777555,28.76410479104783,281100
2023-12-06,27.67012596130371,28.547195676860444,27.528663510134837,28.056790833935203,206400
2023-12-07,27.736141204833984,28.066221451435695,27.528663066383615,27.868172583957616,181800
2023-12-08,27.868173599243164,28.20297029232087,27.66069545323401,27.726711145200888,230200
2023-12-11,27.10427474975586,27.976629842364463,27.057121198281962,27.72671098293328,231500
2023-12-12,26.312082290649414,27.009965270539883,26.293220150946052,27.009965270539883,360600
2023-12-13,28.349145889282227,28.349145889282227,26.189481314346924,26.406390519043125,321700
2023-12-14,28.518901824951172,29.28280048309655,28.462317205516268,28.735811031778823,256500
2023-12-15,28.113372802734375,28.97158029750325,28.066219256390255,28.877273204815015,271100
2023-12-18,27.5003719329834,28.500042019221972,27.481509792029726,28.330288147017235,200400
2023-12-19,28.424591064453125,28.669793464330034,27.792723825983682,27.924756994405097,230200
2023-12-20,28.188819885253906,28.999873843147405,28.14166633835929,28.452884424724292,228000
2023-12-21,29.075321197509766,29.245076847901817,28.44345394260188,28.669794210193768,223100
2023-12-22,29.12247657775879,29.56572787029234,28.858413815016412,29.24507868799717,187400
2023-12-26,29.311092376708984,29.51857050452029,28.97158107775181,29.06117533652803,169200
2023-12-27,29.782636642456055,29.876945541525565,29.206411409704597,29.35824749603959,139600
2023-12-28,29.77320671081543,29.999546997959015,29.61759855037602,29.754344570521955,137300
2023-12-29,28.52833366394043,29.72605256683098,28.36800907222443,29.72605256683098,180400
2024-01-02,27.755002975463867,29.179062112771994,27.655979442437296,28.377439181334623,315900
2024-01-03,26.89679527282715,28.179390157078725,26.871331564823617,27.472076127245703,316300
2024-01-04,27.604110717773438,27.868173484554237,26.849641301331765,26.972243413445156,262100
2024-01-05,27.490938186645508,28.122805456747834,27.196695292062664,27.39662928984958,174600
2024-01-08,27.651262283325195,27.717277970278932,26.642161242649358,27.330613119156276,203500
2024-01-09,27.05712127685547,27.60411074998749,26.83078099129663,27.462648296362307,219200
2024-01-10,26.868501663208008,27.05240302041409,26.293219018579695,26.859070593762496,327500
2024-01-11,26.01972770690918,26.99110636788145,26.000865566200726,26.783626417673982,195700
2024-01-12,27.19769287109375,27.952920553292532,26.447216062754997,26.447216062754997,336900
2024-01-16,27.15969467163086,27.226192409594706,26.646709015462676,26.779706303317834,237800
2024-01-17,26.950702667236328,27.00770047192338,26.333219504071018,26.599212279156497,188200
2024-01-18,26.82720184326172,27.14164189633233,26.504211305225535,26.998197047154676,176100
2024-01-19,26.010223388671875,26.96019505360686,25.915227671720103,26.96019505360686,253600
2024-01-22,26.428213119506836,26.504210785087015,26.029224922229083,26.114722522497694,235300
2024-01-23,26.751205444335938,26.969698521033614,26.181222008315014,26.722705638360303,169800
2024-01-24,26.40921401977539,27.188192379583118,26.323716417015117,27.188192379583118,120900
2024-01-25,25.877229690551758,26.73220388459746,25.801232024679415,26.73220388459746,145700
